physical_gpu,phase,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup,bf16_share_percent,sage_share_percent,share_delta_percentage_points
3,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
3,idle,0.6575295149999999,0.662917423,0.005387908000000108,-0.8194169048061833,0.991872429637439,13.128386716414386,14.342601203854889,1.2142144874405023
3,sage_quantization,0.0,0.052663961,0.052663961,,0.0,0.0,1.1394152035107499,1.1394152035107499
4,linear_gemm,2.5515971169999996,2.503251416,-0.048345700999999686,1.8947231393975468,1.0193131623499698,50.94577951601769,54.159289719970225,3.213510203952538
4,vsa,1.1102749470000002,0.639753884,-0.4705210630000002,42.37878772923443,1.7354719912884502,22.16800696127304,13.841444663356269,-8.326562297916771
4,rdma_barrier,0.355972844,0.35986077899999996,0.0038879349999999535,-1.0921998870228296,0.989196002379576,7.107436320290277,7.78579573116086,0.6783594108705833
4,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
4,pointwise,0.075291458,0.07506630199999999,-0.000225156000000018,0.29904587582832837,1.0029994284252874,1.5032867035127262,1.6241027857765848,0.12081608226385865
4,attention_other,1.4145e-05,1.4144e-05,-9.999999999988046e-10,0.007069635913741991,1.000070701357466,0.00028242234890958693,0.00030601360650514016,2.359125759555323e-05
4,communication_other,0.002765158,0.0034538299999999997,0.0006886719999999995,-24.905339948024654,0.8006062834592323,0.05520978561089683,0.07472560623272399,0.019515820621827162
4,layout_copy,0.121649399,0.195392472,0.073743073,-60.619348394807936,0.6225899992708009,2.428880099612553,4.227428948011497,1.7985488483989438
4,memory_ops,0.008795571,0.008800145,4.5740000000002445e-06,-0.05200344582518002,0.9994802358370232,0.17561440946066065,0.19039621812911317,0.014781808668452523
4,other,0.126873857,0.128223862,0.0013500049999999875,-1.0640529356650579,0.9894714994624012,2.5331928391063303,2.7741972886480055,0.24100444954167521
4,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
4,idle,0.65522183,0.655712933,0.0004911029999999927,-0.07495217306785898,0.9992510396313931,13.082310942766918,14.186727902954845,1.1044169601879261
4,sage_quantization,0.0,0.052486934,0.052486934,,0.0,0.0,1.1355851221533697,1.1355851221533697
