physical_gpu,rank,bin_start_s,bin_end_s,mean_sm_active_percent,mean_gpc_clock_mhz
2,4,1.9,2.0,91.84,2116.0365110000002
2,4,2.0,2.1,91.57,2114.7481969999994
2,4,2.1,2.2,92.24,2112.918456
2,4,2.2,2.3,91.18,2135.0539999999996
2,4,2.3,2.4,91.38,2126.4211020000002
2,4,2.4,2.5,91.72,2131.1785009999994
2,4,2.5,2.6,93.68,2104.777876
2,4,2.6,2.7,91.03,2132.506383
2,4,2.7,2.8,92.76,2102.462458
2,4,2.8,2.9,91.16,2145.4138430000003
2,4,2.9,3.0,87.17,2186.04759
2,4,3.0,3.1,92.83,2146.849497
2,4,3.1,3.2,90.9,2142.816344
2,4,3.2,3.3,92.41,2110.38148
2,4,3.3,3.4,91.4,2146.470204
2,4,3.4,3.5,91.25,2139.563638
2,4,3.5,3.6,91.45,2139.366916
2,4,3.6,3.7,92.73,2129.254459
2,4,3.7,3.8,92.53,2118.275406
2,4,3.8,3.9,91.04,2133.30809
2,4,3.9,4.0,92.76,2103.0531410000003
2,4,4.0,4.1,91.18,2141.827884
2,4,4.1,4.2,91.44,2128.963386
2,4,4.2,4.3,91.34,2140.20433
2,4,4.3,4.4,93.97,2106.440491
2,4,4.4,4.5,91.22,2124.0114529999996
2,4,4.5,4.6,92.28,2107.0878350000003
2,4,4.6,4.7,91.36,2131.6491770000002
2,4,4.7,4.8,91.07,2131.9614180000003
2,4,4.8,4.9,91.43,2126.722422
2,4,4.9,5.0,92.83,2120.7662120000005
2,4,5.0,5.1,92.24,2108.5675859999997
2,4,5.1,5.2,90.89,2117.47566
2,4,5.2,5.3,92.75,2108.9752809999995
2,4,5.3,5.4,90.94,2138.580794
2,4,5.4,5.5,91.41,2131.59101
2,4,5.5,5.6,91.55,2132.932297
2,4,5.6,5.7,89.52,2134.072377
2,4,5.7,5.8,91.42,2159.5673699999998
2,4,5.8,5.9,90.97,2153.5432060000003
2,4,5.9,6.0,91.27,2138.0108809999997
2,4,6.0,6.1,91.25,2141.062301
2,4,6.1,6.2,93.94,2109.397556
2,4,6.2,6.3,85.81,2168.5530649999996
2,4,6.3,6.4,92.66,2128.3851290000002
2,4,6.4,6.5,90.99,2147.7029129999996
2,4,6.5,6.6,91.29,2133.547664
2,4,6.6,6.7,91.32,2140.477751
2,4,6.7,6.8,94.01,2105.631358
2,4,6.8,6.9,91.12,2125.407762
2,4,6.9,7.0,92.45,2103.483139
2,4,7.0,7.1,91.41,2128.67953
2,4,7.1,7.2,91.15,2134.795409
2,4,7.2,7.3,91.35,2131.400678
2,4,7.3,7.4,92.82,2120.786155
2,4,7.4,7.5,92.6,2105.8967869999997
2,4,7.5,7.6,91.05,2118.9411939999995
2,4,7.6,7.7,92.8,2104.355078
2,4,7.7,7.8,91.17,2135.213308
2,4,7.8,7.9,91.39,2122.6655079999996
2,4,7.9,8.0,91.87,2122.530051
2,4,8.0,8.1,93.79,2101.675266
2,4,8.1,8.2,91.03,2129.773485
2,4,8.2,8.3,92.69,2093.6508400000002
2,4,8.3,8.4,89.38,2163.524356
2,4,8.4,8.5,88.68,2188.48808
2,4,8.5,8.6,93.62,2124.701097
2,4,8.6,8.7,91.2,2134.007059
2,4,8.7,8.8,92.5,2101.946476
2,4,8.8,8.9,91.47,2136.968142
2,4,8.9,9.0,91.47,2130.4155199999996
2,4,9.0,9.1,91.37,2133.088909
2,4,9.1,9.2,92.88,2122.324393
2,4,9.2,9.3,92.54,2109.4661899999996
2,4,9.3,9.4,91.24,2121.8864790000002
2,4,9.4,9.5,92.83,2099.7406080000005
2,4,9.5,9.6,91.3,2133.7108489999996
2,4,9.6,9.7,91.64,2118.745053
2,4,9.7,9.8,91.5,2127.299215
2,4,9.8,9.9,94.02,2101.353294
2,4,9.9,10.0,89.77,2126.732109
2,4,10.0,10.1,92.58,2103.1244779999997
2,4,10.1,10.2,91.05,2135.17258
2,4,10.2,10.3,91.37,2121.1743159999996
2,4,10.3,10.4,91.34,2130.638102
2,4,10.4,10.5,94.08,2098.17758
2,4,10.5,10.6,91.25,2118.9461980000005
2,4,10.6,10.7,92.45,2091.1040279999997
2,4,10.7,10.8,91.42,2130.0151619999997
2,4,10.8,10.9,91.16,2130.3144719999996
2,4,10.9,11.0,91.49,2123.1075199999996
2,4,11.0,11.1,93.69,2112.183251
2,4,11.1,11.2,32.31,2439.656385
2,4,11.2,11.3,90.57,2421.1354140000003
2,4,11.3,11.4,88.11,2374.2256799999996
2,4,11.4,11.5,90.35,2331.1106910000003
2,4,11.5,11.6,88.92,2322.1723730000003
2,4,11.6,11.7,89.66,2300.8106239999997
2,4,11.7,11.8,89.65,2304.6162400000003
2,4,11.8,11.9,89.03,2301.072513
2,4,11.9,12.0,90.41,2294.5364799999998
2,4,12.0,12.1,88.37,2306.5721919999996
2,4,12.1,12.2,90.63,2283.508507
2,4,12.2,12.3,88.62,2308.389024
2,4,12.3,12.4,90.1,2290.81153
2,4,12.4,12.5,89.32,2299.0394659999997
2,4,12.5,12.6,89.33,2295.56678
2,4,12.6,12.7,90.07,2294.0446620000002
2,4,12.7,12.8,88.62,2302.565996
2,4,12.8,12.9,90.74,2280.1832459999996
2,4,12.9,13.0,88.29,2306.617301
2,4,13.0,13.1,90.4,2283.666865
2,4,13.1,13.2,88.97,2298.073358
2,4,13.2,13.3,89.67,2292.208733
2,4,13.3,13.4,89.83,2294.855637
2,4,13.4,13.5,88.09,2302.998374
2,4,13.5,13.6,58.84,2388.949116
2,4,13.6,13.7,2.0,2558.2327579999996
2,4,13.7,13.8,2.0,2558.8466809999995
2,4,13.8,13.843227,1.7727272727272727,2559.168013636364
3,6,0.0,0.1,20.353535353535353,2540.5182720000003
3,6,0.1,0.2,0.012658227848101266,2562.8281296202535
3,6,0.2,0.3,50.20652173913044,2443.1462876086957
3,6,0.3,0.4,90.84,2276.3215729999997
3,6,0.4,0.5,90.04,2187.244592
3,6,0.5,0.6,93.11,2152.146309
3,6,0.6,0.7,91.39,2148.9625419999998
3,6,0.7,0.8,92.52,2121.603902
3,6,0.8,0.9,91.51,2144.114129
3,6,0.9,1.0,91.23,2140.2544679999996
3,6,1.0,1.1,91.16,2150.450904
3,6,1.1,1.2,91.39,2141.5256170000002
3,6,1.2,1.3,93.84,2119.44536
3,6,1.3,1.4,91.12,2135.9807310000006
3,6,1.4,1.5,92.31,2106.609837
3,6,1.5,1.6,91.49,2148.2493459999996
3,6,1.6,1.7,91.43,2136.2991789999996
3,6,1.7,1.8,91.22,2143.7280130000004
3,6,1.8,1.9,92.99,2122.3339639999995
