color_space,frame_index,time_s,psnr_db,ssim,mse
yuv,121,5.041666666666667,20.54,0.759067,574.76
yuv,122,5.083333333333333,20.49,0.75708,580.92
yuv,123,5.125,20.47,0.754661,583.95
yuv,124,5.166666666666667,20.4,0.748372,593.08
yuv,125,5.208333333333333,20.35,0.746635,599.64
yuv,126,5.25,20.31,0.745209,605.3
yuv,127,5.291666666666667,20.3,0.744147,606.67
yuv,128,5.333333333333333,20.31,0.743655,605.94
yuv,129,5.375,20.31,0.743355,605.68
yuv,130,5.416666666666667,20.32,0.742648,604.07
yuv,131,5.458333333333333,20.33,0.742074,603.14
yuv,132,5.5,20.31,0.741342,605.55
yuv,133,5.541666666666667,20.29,0.740884,608.75
yuv,134,5.583333333333333,20.25,0.739982,613.45
yuv,135,5.625,20.24,0.73921,615.92
yuv,136,5.666666666666667,20.2,0.7369,621.61
yuv,137,5.708333333333333,20.21,0.738234,619.39
yuv,138,5.75,20.19,0.737583,623.08
yuv,139,5.791666666666667,20.21,0.737667,618.96
yuv,140,5.833333333333333,20.26,0.736381,611.95
yuv,141,5.875,20.32,0.736051,604.24
yuv,142,5.916666666666667,20.42,0.735827,590.23
yuv,143,5.958333333333333,20.48,0.736612,582.84
yuv,144,6.0,20.49,0.736779,580.74
yuv,145,6.041666666666667,20.52,0.738079,576.24
yuv,146,6.083333333333333,20.55,0.738328,573.33
yuv,147,6.125,20.58,0.738341,569.28
yuv,148,6.166666666666667,20.6,0.738247,565.82
yuv,149,6.208333333333333,20.65,0.738944,560.14
yuv,150,6.25,20.68,0.738854,556.21
yuv,151,6.291666666666667,20.69,0.738892,555.03
yuv,152,6.333333333333333,20.69,0.740263,554.66
yuv,153,6.375,20.71,0.741293,551.66
yuv,154,6.416666666666667,20.73,0.741652,550.05
yuv,155,6.458333333333333,20.75,0.742443,547.22
yuv,156,6.5,20.79,0.742483,542.17
yuv,157,6.541666666666667,20.8,0.742257,540.4
yuv,158,6.583333333333333,20.8,0.741212,541.33
yuv,159,6.625,20.8,0.741322,540.26
