mode,physical_gpu,phase,seconds,share_percent
bf16-overlap,7,communication_other,0.001516961,0.03426486613653805
bf16-overlap,7,layout_copy,0.179665453,4.058253769480869
bf16-overlap,7,memory_ops,0.013430023999999999,0.3033551782613352
bf16-overlap,7,other,0.150849653,3.407367207718732
bf16-overlap,7,concurrent_mixed,0.033792625,0.7633022681711851
bf16-overlap,7,idle,0.41684884499999997,9.415713306469645
bf16-overlap,7,sage_quantization,0.054016319,1.2201117495595053
fp8-base,0,linear_gemm,1.3235701489999998,38.24427203687132
fp8-base,0,vsa,0.6598720939999999,19.06686086229943
fp8-base,0,rdma_barrier,0.280848527,8.115057200298493
fp8-base,0,rdma_other,0.0,0.0
fp8-base,0,pointwise,0.076632512,2.2142797931874525
fp8-base,0,attention_other,0.00013417599999999998,0.0038769863831518356
fp8-base,0,communication_other,0.003042337,0.08790766695950845
fp8-base,0,layout_copy,0.19772030499999999,5.713085277230114
fp8-base,0,memory_ops,0.009041025,0.26123845408072477
fp8-base,0,other,0.196427786,5.675738221400718
fp8-base,0,concurrent_mixed,0.0,0.0
fp8-base,0,idle,0.6612455899999999,19.10654773095935
fp8-base,0,sage_quantization,0.052297876,1.51113577032974
fp8-base,4,linear_gemm,1.286783594,37.181332518491985
fp8-base,4,vsa,0.6537741899999999,18.890663250403357
fp8-base,4,rdma_barrier,0.329974781,9.534549641668473
fp8-base,4,rdma_other,0.0,0.0
fp8-base,4,pointwise,0.076760405,2.2179752336499825
fp8-base,4,attention_other,0.00012972800000000002,0.0037484623890525976
fp8-base,4,communication_other,0.003254244,0.09403067370806674
fp8-base,4,layout_copy,0.196687885,5.683253725524193
fp8-base,4,memory_ops,0.008782887999999999,0.2537796415211935
fp8-base,4,other,0.19271355,5.568416178741731
fp8-base,4,concurrent_mixed,0.0,0.0
fp8-base,4,idle,0.659876111,19.06697693264212
fp8-base,4,sage_quantization,0.052095001,1.5052737412598471
fp8-base,1,linear_gemm,1.300360403,37.5736314662893
fp8-base,1,vsa,0.65999156,19.070312806426916
fp8-base,1,rdma_barrier,0.297329209,8.591262927843326
fp8-base,1,rdma_other,0.0,0.0
fp8-base,1,pointwise,0.076815616,2.219570543505696
fp8-base,1,attention_other,0.000134496,0.003886232713662572
fp8-base,1,communication_other,0.003088196,0.08923275280604553
fp8-base,1,layout_copy,0.199093524,5.752764142035186
fp8-base,1,memory_ops,0.00898258,0.25954969849728726
fp8-base,1,other,0.198908741,5.747424877376544
fp8-base,1,concurrent_mixed,0.0,0.0
fp8-base,1,idle,0.6638799870000001,19.182668060204637
fp8-base,1,sage_quantization,0.052248064999999996,1.5096964923013954
fp8-base,5,linear_gemm,1.2699128499999999,36.69385603416065
fp8-base,5,vsa,0.645993405,18.665839157456542
fp8-base,5,rdma_barrier,0.35181100600000004,10.165502621220998
fp8-base,5,rdma_other,0.0,0.0
fp8-base,5,pointwise,0.076798625,2.219079592250359
fp8-base,5,attention_other,0.000128352,0.0037087031678564304
fp8-base,5,communication_other,0.003615551,0.10447056101382514
fp8-base,5,layout_copy,0.19738660100000002,5.703442972615255
fp8-base,5,memory_ops,0.008744925,0.2526827088800088
fp8-base,5,other,0.192661796,5.5669207581503155
fp8-base,5,concurrent_mixed,0.0,0.0
fp8-base,5,idle,0.6617140450000001,19.120083636457498
fp8-base,5,sage_quantization,0.052065221,1.5044132546266917
fp8-base,2,linear_gemm,1.312380059,37.92093681629355
fp8-base,2,vsa,0.6593353439999999,19.05135158760681
fp8-base,2,rdma_barrier,0.28882413300000004,8.34551060373416
fp8-base,2,rdma_other,0.0,0.0
fp8-base,2,pointwise,0.076734422,2.217224460507294
fp8-base,2,attention_other,0.000135488,0.003914896338245855
fp8-base,2,communication_other,0.002967013,0.08573119633641245
fp8-base,2,layout_copy,0.199300285,5.758738456231219
fp8-base,2,memory_ops,0.009073703,0.26218267779456805
fp8-base,2,other,0.19805450500000002,5.722741913657265
fp8-base,2,concurrent_mixed,0.0,0.0
fp8-base,2,idle,0.6618306639999999,19.12345331713822
fp8-base,2,sage_quantization,0.052196761,1.5082140743622614
fp8-base,6,linear_gemm,1.2848610759999999,37.125781778364356
fp8-base,6,vsa,0.64212058,18.553934720080782
fp8-base,6,rdma_barrier,0.343348094,9.920968616735754
fp8-base,6,rdma_other,0.0,0.0
fp8-base,6,pointwise,0.07681089299999999,2.219434073446314
fp8-base,6,attention_other,0.000127168,0.0036744917449667053
fp8-base,6,communication_other,0.003726817,0.10768556792197394
fp8-base,6,layout_copy,0.197334076,5.701925274146267
fp8-base,6,memory_ops,0.008331906,0.2407486145637154
fp8-base,6,other,0.192009751,5.548080059469462
fp8-base,6,concurrent_mixed,0.0,0.0
fp8-base,6,idle,0.6600801430000001,19.072872392975768
fp8-base,6,sage_quantization,0.052081873,1.5048944105506443
fp8-base,3,linear_gemm,1.3387642679999998,38.683302805913385
fp8-base,3,vsa,0.662149358,19.13266191106256
fp8-base,3,rdma_barrier,0.261556232,7.557610525671524
